Size of problem,String Equals,Character by Character,Stack Queue,Recursion Reverse
0,0,0,0,0
50000,11233560,1887655,25886016,11606916
100000,23578200,3800462,54582291,24436020
150000,36767480,5662847,85188951,38194228
200000,50267480,7494813,116588368,52294228
250000,63767480,9326797,147988022,66394228
300000,77646040,11196630,180375865,80910644
350000,91646040,13078595,213080625,95560644
400000,105646040,14960573,245785996,110210644
450000,119646040,16842538,278490756,124860644
500000,133646040,18724523,311196637,139510644
550000,147903160,20581081,344562761,154443476
600000,162403160,22413580,378553024,169643476
650000,176903160,24246085,412543376,184843476
700000,191403160,26078613,446533651,200043476
750000,205903160,27911119,480524442,215243476
800000,220403160,29743635,514514521,230443476
850000,234903160,31576134,548504784,245643476
900000,249403160,33408651,582495332,260843476
950000,263903160,35241173,616485512,276043476
1000000,278403160,37073697,650476534,291243476
